"","vial","trt","exp","fitness","mod_death"
"1","11c-11","11c","0",2.27901658458984,1
"2","11c-12","11c","0",2.19610242779887,1
"3","11c-13","11c","0",2.09810297542861,1
"4","11c-14","11c","1",2.20133200955983,1
"5","11c-15","11c","1",2.04572495037862,1
"6","11c-16","11c","1",2.04610637456011,1
"7","11c-17","11c","2",2.52905529703889,1
"8","11c-18","11c","2",2.23777137546687,1
"9","11c-19","11c","2",2.31698515415888,1
"10","13g-11","13g","0",1.78341942655252,1
"11","13g-12","13g","0",2.03667005524968,1
"12","13g-13","13g","0",1.80269713996802,1
"13","13g-14","13g","1",1.64737296824143,1
"14","13g-15","13g","1",1.724227106886,1
"15","13g-16","13g","1",1.9867027132178,1
"16","13g-17","13g","2",1.91229599574506,1
"17","13g-18","13g","2",1.9018873373876,1
"18","13g-19","13g","2",2.24751974849498,1
"19","15h-11","15h","0",1.91534527355383,1
"20","15h-12","15h","0",1.88058707693463,1
"21","15h-13","15h","0",1.65202781168799,1
"22","15h-14","15h","1",1.84375030361776,1
"23","15h-15","15h","1",1.80481576656632,1
"24","15h-16","15h","1",1.74634028947201,1
"25","15h-17","15h","2",1.99250296262989,1
"26","15h-18","15h","2",1.5643775311598,1
"27","15h-19","15h","2",2.40998966474311,1
"28","16i-11","16i","0",1.77657392028991,1
"29","16i-12","16i","0",2.04531554870694,1
"30","16i-13","16i","0",0.490414626505863,1
"31","16i-15","16i","1",1.53492012285386,1
"32","16i-17","16i","2",1.61912552595886,1
"33","16i-19","16i","2",-0.222253871361268,1
"34","1a-11","1a","0",1.86320918966377,1
"35","1a-14","1a","1",1.72948285460833,1
"36","1a-15","1a","1",1.7058179011975,1
"37","1a-16","1a","1",1.91120787884496,1
"38","1a-17","1a","2",2.19833139735741,1
"39","1a-18","1a","2",1.86726116613209,1
"40","1a-19","1a","2",1.6343663045042,1
"41","28n-11","28n","0",2.0949926976897,1
"42","28n-12","28n","0",2.44746674467952,1
"43","28n-13","28n","0",2.15469984385291,1
"44","28n-14","28n","1",1.99067911193823,1
"45","28n-15","28n","1",2.13827098854789,1
"46","28n-16","28n","1",2.48815812975282,1
"47","28n-17","28n","2",2.37836978045771,1
"48","28n-18","28n","2",2.41782171113223,1
"49","28n-19","28n","2",2.35847280384844,1
"50","2b-11","2b","0",2.01276954333369,1
"51","2b-12","2b","0",2.10915026068921,1
"52","2b-13","2b","0",1.79521063812592,1
"53","2b-15","2b","1",1.6405454918065,1
"54","2b-17","2b","2",2.06694445612944,1
"55","2b-18","2b","2",2.10929248603643,1
"56","2b-19","2b","2",2.36760429370623,1
"57","30p-11","30p","0",2.17928443459912,1
"58","30p-12","30p","0",2.38855360246814,1
"59","30p-13","30p","0",2.10866469437198,1
"60","30p-14","30p","1",1.96058553974637,1
"61","30p-15","30p","1",2.13195093900908,1
"62","30p-16","30p","1",2.14522605041878,1
"63","30p-18","30p","2",2.43245249884689,1
"64","30p-19","30p","2",2.50372615663916,1
"65","35u-11","35u","0",2.08145969798007,1
"66","35u-12","35u","0",2.23243283178937,1
"67","35u-13","35u","0",2.0104852302185,1
"68","35u-15","35u","1",2.08483890482543,1
"69","35u-16","35u","1",1.93213363625403,1
"70","35u-17","35u","2",2.19134575478531,1
"71","35u-18","35u","2",1.98196386591108,1
"72","35u-19","35u","2",2.10819741132715,1
"73","3c-11","3c","0",1.8448369322747,1
"74","3c-12","3c","0",2.04585234974436,1
"75","3c-13","3c","0",1.76201550245639,1
"76","3c-14","3c","1",1.84913601388668,1
"77","3c-15","3c","1",1.77203984241468,1
"78","3c-16","3c","1",1.8009810517288,1
"79","3c-18","3c","2",1.89279534279531,1
"80","3c-19","3c","2",1.88941580832629,1
"81","4d-11","4d","0",2.29592449171617,1
"82","4d-12","4d","0",2.36177710741761,1
"83","4d-13","4d","0",2.13650270007225,1
"84","4d-14","4d","1",1.94262222087671,1
"85","4d-15","4d","1",2.21900644939284,1
"86","4d-16","4d","1",1.9460648122347,1
"87","4d-17","4d","2",1.92080899541297,1
"88","4d-18","4d","2",1.78003039126174,1
"89","4d-19","4d","2",2.38435494462636,1
"90","70j-11","70j","0",1.60774134526051,1
"91","70j-12","70j","0",1.59571328154716,1
"92","70j-13","70j","0",1.62621737710101,1
"93","70j-14","70j","1",1.66160358738598,1
"94","70j-15","70j","1",1.79247447762613,1
"95","70j-16","70j","1",1.4888840615011,1
"96","70j-17","70j","2",2.09987634817437,1
"97","70j-19","70j","2",1.75690629206237,1
"98","71k-11","71k","0",1.62628195856522,1
"99","71k-12","71k","0",1.41088760853902,1
"100","71k-13","71k","0",1.57209039604191,1
"101","71k-14","71k","1",1.60423122214716,1
"102","71k-15","71k","1",1.83170276480783,1
"103","71k-16","71k","1",2.10934257593753,1
"104","71k-17","71k","2",1.70275671569034,1
"105","71k-18","71k","2",1.74869387091687,1
"106","71k-19","71k","2",1.70734132829683,1
"107","75o-12","75o","0",1.73340912694082,1
"108","75o-13","75o","0",1.57529093639352,1
"109","75o-14","75o","1",1.59119357083778,1
"110","75o-15","75o","1",1.79767764928882,1
"111","75o-16","75o","1",1.73413743353181,1
"112","75o-17","75o","2",2.07777367224885,1
"113","75o-18","75o","2",2.1280505629259,1
"114","75o-19","75o","2",2.25563232956925,1
"115","Ax-13","Ax","0",1.95638897881399,1
"116","Ax-14","Ax","1",1.87657770268788,1
"117","Ax-16","Ax","1",2.11882519656914,1
"118","Ax-18","Ax","2",2.31227163305508,1
"119","Gno-11","Gno","0",2.21999262905513,1
"120","Gno-12","Gno","0",2.07321264571498,1
"121","Gno-13","Gno","0",2.18642151667644,1
"122","Gno-14","Gno","1",2.21085785927484,1
"123","Gno-15","Gno","1",2.07313918425944,1
"124","Gno-16","Gno","1",2.12578998931126,1
"125","Gno-18","Gno","2",1.85094649681697,1
"126","Gno-19","Gno","2",2.34565397705204,1
